ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/4/1965,1965-Mar-04 20:24,-1.52336E+11,18.7506274,67502.25863,41943.27842,0.272661216,106.0652129,40789537.12,25345443.08,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,8/27/1969,1969-Aug-27 00:06,-10972440000,13.17653611,47435.53001,29474.59363,0.060603344,23.57470066,9066131.117,5633432.651,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,2/22/1976,1976-Feb-22 11:52,1.93838E+11,8.454069734,30434.65104,18910.90859,0.384692321,149.6453128,57549151.8,35759384.74,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,6/23/1976,1976-Jun-23 12:31,2.04381E+11,8.533033653,30718.92115,19087.54298,0.271126934,105.4683773,40560011.81,25202822.67,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/16/1983,1983-Mar-16 10:22,4.16658E+11,11.0596573,39814.76628,24739.34741,0.089458832,34.79948565,13382850.72,8315717.832,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,9/10/1987,1987-Sep-10 22:36,5.58312E+11,21.4485047,77214.61691,47978.16016,0.362124339,140.8663677,54173029.73,33661559.77,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/2/1990,1990-Mar-02 19:44,6.36407E+11,20.52626882,73894.56776,45915.21073,0.334198458,130.0032,49995377.43,31065687,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,8/25/1994,1994-Aug-25 10:10,7.77809E+11,12.21723258,43982.03729,27328.72756,0.033304723,12.95553717,4982315.592,3095867.351,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,2/20/2001,2001-Feb-20 23:36,9.82712E+11,8.541197553,30748.31119,19105.80481,0.391083604,152.131522,58505274.18,36353491.64,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,6/27/2001,2001-Jun-27 11:35,9.93642E+11,8.500678947,30602.44421,19015.16874,0.267086555,103.8966697,39955579.67,24827245.95,Earth
